provincia_id,departamento_id,a�o,mes,modelo,actividad,margen_bruto_($/ha),resultado_neto_($/ha),ingreso_neto_($/ha),gastos_directos_($/ha),costos_indirectos_($/ha),'eficiencia_stock_(\%)',producci�n_(kg/ha),'destete_(\%)',carga_(kg/ha)
6,343,2018,2,'cuenca del salado',cria,2425,1095,2849,424,1330,31,92,72,293
6,441,2018,2,'cuenca del salado',cria,2425,1095,2849,424,1330,31,92,72,293
6,448,2018,2,'cuenca del salado',cria,2425,1095,2849,424,1330,31,92,72,293
6,455,2018,2,'cuenca del salado',cria,2425,1095,2849,424,1330,31,92,72,293
6,483,2018,2,'cuenca del salado',cria,2425,1095,2849,424,1330,31,92,72,293
6,505,2018,2,'cuenca del salado',cria,2425,1095,2849,424,1330,31,92,72,293
6,511,2018,2,'cuenca del salado',cria,2425,1095,2849,424,1330,31,92,72,293
6,518,2018,2,'cuenca del salado',cria,2425,1095,2849,424,1330,31,92,72,293
6,525,2018,2,'cuenca del salado',cria,2425,1095,2849,424,1330,31,92,72,293
6,547,2018,2,'cuenca del salado',cria,2425,1095,2849,424,1330,31,92,72,293
6,574,2018,2,'cuenca del salado',cria,2425,1095,2849,424,1330,31,92,72,293
6,595,2018,2,'cuenca del salado',cria,2425,1095,2849,424,1330,31,92,72,293
6,630,2018,2,'cuenca del salado',cria,2425,1095,2849,424,1330,31,92,72,293
6,655,2018,2,'cuenca del salado',cria,2425,1095,2849,424,1330,31,92,72,293
6,672,2018,2,'cuenca del salado',cria,2425,1095,2849,424,1330,31,92,72,293
6,693,2018,2,'cuenca del salado',cria,2425,1095,2849,424,1330,31,92,72,293
6,707,2018,2,'cuenca del salado',cria,2425,1095,2849,424,1330,31,92,72,293
6,778,2018,2,'cuenca del salado',cria,2425,1095,2849,424,1330,31,92,72,293
6,798,2018,2,'cuenca del salado',cria,2425,1095,2849,424,1330,31,92,72,293
6,812,2018,2,'cuenca del salado',cria,2425,1095,2849,424,1330,31,92,72,293
30,8,2018,2,'entre rios sw',invernada,1429,-1025,5852,4424,2454,59,284,?,482
30,21,2018,2,'entre rios sw',invernada,1429,-1025,5852,4424,2454,59,284,?,482
