,pais_id,pais,provincia_id,provincia,departamento_id,departamento,prov_depto,año,mes,modelo,actividad,referencia,margen_bruto_($/ha),resultado_neto_($/ha),ingreso_neto_($/ha),gastos_directos_($/ha),costos_indirectos_($/ha),eficiencia_stock_(%),producción_(kg/ha),destete_(%),carga_(kg/ha)
29,32,Argentina,22,Chaco,84,Libertador General San Martin,22084,2018,2,chaco-formosa este,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,608,127,823,215,482,23,28,60,122
30,32,Argentina,22,Chaco,91,Maipu,22091,2018,2,chaco-formosa este,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,608,127,823,215,482,23,28,60,122
31,32,Argentina,22,Chaco,98,Mayor Luis J Fontana,22098,2018,2,chaco-formosa este,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,608,127,823,215,482,23,28,60,122
32,32,Argentina,22,Chaco,112,O'Higgins,22112,2018,2,chaco-formosa este,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,608,127,823,215,482,23,28,60,122
33,32,Argentina,22,Chaco,133,Quitilipi,22133,2018,2,chaco-formosa este,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,608,127,823,215,482,23,28,60,122
34,32,Argentina,22,Chaco,147,San Lorenzo,22147,2018,2,chaco-formosa este,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,608,127,823,215,482,23,28,60,122
35,32,Argentina,34,Formosa,14,Formosa,34014,2018,2,chaco-formosa este,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,608,127,823,215,482,23,28,60,122
36,32,Argentina,34,Formosa,21,Laishi,34021,2018,2,chaco-formosa este,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,608,127,823,215,482,23,28,60,122
37,32,Argentina,34,Formosa,42,Pilagas,34042,2018,2,chaco-formosa este,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,608,127,823,215,482,23,28,60,122
38,32,Argentina,34,Formosa,49,Pilcomayo,34049,2018,2,chaco-formosa este,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,608,127,823,215,482,23,28,60,122
39,32,Argentina,34,Formosa,56,Pirane,34056,2018,2,chaco-formosa este,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,608,127,823,215,482,23,28,60,122
40,32,Argentina,22,Chaco,7,Almirante Brown,22007,2018,2,chaco-formosa oeste,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,391,39,560,169,352,22,19,60,85
41,32,Argentina,22,Chaco,63,General Guemes,22063,2018,2,chaco-formosa oeste,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,391,39,560,169,352,22,19,60,85
42,32,Argentina,34,Formosa,7,Bermejo,34007,2018,2,chaco-formosa oeste,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,391,39,560,169,352,22,19,60,85
43,32,Argentina,34,Formosa,35,Pati�o,34035,2018,2,chaco-formosa oeste,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,391,39,560,169,352,22,19,60,85
44,32,Argentina,34,Formosa,63,Ramon Lista,34063,2018,2,chaco-formosa oeste,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,391,39,560,169,352,22,19,60,85
45,32,Argentina,14,Cordoba,7,Calamuchita,14007,2018,2,cordoba norte,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,673,116,880,207,557,29,30,65,103
46,32,Argentina,14,Cordoba,14,Capital,14014,2018,2,cordoba norte,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,673,116,880,207,557,29,30,65,103
47,32,Argentina,14,Cordoba,21,Colon,14021,2018,2,cordoba norte,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,673,116,880,207,557,29,30,65,103
48,32,Argentina,14,Cordoba,28,Cruz Del Eje,14028,2018,2,cordoba norte,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,673,116,880,207,557,29,30,65,103
49,32,Argentina,14,Cordoba,49,Ischilin,14049,2018,2,cordoba norte,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,673,116,880,207,557,29,30,65,103
50,32,Argentina,14,Cordoba,70,Minas,14070,2018,2,cordoba norte,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,673,116,880,207,557,29,30,65,103
51,32,Argentina,14,Cordoba,77,Pocho,14077,2018,2,cordoba norte,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,673,116,880,207,557,29,30,65,103
52,32,Argentina,14,Cordoba,91,Punilla,14091,2018,2,cordoba norte,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,673,116,880,207,557,29,30,65,103
53,32,Argentina,14,Cordoba,112,Rio Seco,14112,2018,2,cordoba norte,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,673,116,880,207,557,29,30,65,103
54,32,Argentina,14,Cordoba,126,San Alberto,14126,2018,2,cordoba norte,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,673,116,880,207,557,29,30,65,103
55,32,Argentina,14,Cordoba,133,San Javier,14133,2018,2,cordoba norte,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,673,116,880,207,557,29,30,65,103
56,32,Argentina,14,Cordoba,147,Santa Maria,14147,2018,2,cordoba norte,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,673,116,880,207,557,29,30,65,103
57,32,Argentina,14,Cordoba,154,Sobremonte,14154,2018,2,cordoba norte,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,673,116,880,207,557,29,30,65,103
58,32,Argentina,14,Cordoba,168,Totoral,14168,2018,2,cordoba norte,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,673,116,880,207,557,29,30,65,103
59,32,Argentina,14,Cordoba,175,Tulumba,14175,2018,2,cordoba norte,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,673,116,880,207,557,29,30,65,103
60,32,Argentina,18,Corrientes,7,Bella Vista,18007,2018,2,corrientes noroeste,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,785,288,1191,406,497,21,43,60,205
61,32,Argentina,18,Corrientes,21,Capital,18021,2018,2,corrientes noroeste,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,785,288,1191,406,497,21,43,60,205
62,32,Argentina,18,Corrientes,28,Concepcion,18028,2018,2,corrientes noroeste,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,785,288,1191,406,497,21,43,60,205
63,32,Argentina,18,Corrientes,42,Empedrado,18042,2018,2,corrientes noroeste,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,785,288,1191,406,497,21,43,60,205
64,32,Argentina,18,Corrientes,63,General Paz,18063,2018,2,corrientes noroeste,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,785,288,1191,406,497,21,43,60,205
65,32,Argentina,18,Corrientes,70,Goya,18070,2018,2,corrientes noroeste,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,785,288,1191,406,497,21,43,60,205
66,32,Argentina,18,Corrientes,84,Ituzaingo,18084,2018,2,corrientes noroeste,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,785,288,1191,406,497,21,43,60,205
67,32,Argentina,18,Corrientes,112,Monte Caseros,18112,2018,2,corrientes centro sur,cria,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,1476,1153,1885,409,323,29,63,67,215
68,32,Argentina,18,Corrientes,119,Paso De Los Libres,18119,2018,2,corrientes nor-este,ciclo completo,http://www.agroindustria.gob.ar/sitio/areas/bovinos/modelos/,484,249,798,314,235,20,29,50,144
